Gene ID,TOOL,PRODUCT
protein_cluster_6483,TIGR,flagellar motor switch protein FliN
protein_cluster_6484,PFAM,acyl-CoA dehydrogenase domain-containing protein
protein_cluster_6485,PFAM,Ferritin Dps family protein
protein_cluster_6486,PFAM,major facilitator superfamily MFS_1
protein_cluster_6487,PFAM,regulatory protein DeoR
protein_cluster_6488,PFAM,protein of unknown function DUF1425
protein_cluster_6489,,hypothetical protein
protein_cluster_649,PFAM,Fimbrial protein
protein_cluster_6490,,hypothetical protein
protein_cluster_6491,,hypothetical protein
protein_cluster_6492,HAMAP,Protein dsrB
protein_cluster_6493,PFAM,helicase A859L containing protein
protein_cluster_6494,PFAM,Lytic transglycosylase catalytic
protein_cluster_6495,,hypothetical protein
protein_cluster_6496,,hypothetical protein
protein_cluster_6497,PFAM,"Protein of unknown function DUF2279, periplasmic lipoprotein"
protein_cluster_6498,,hypothetical protein
protein_cluster_6499,PFAM,MscS Mechanosensitive ion channel
protein_cluster_65,TIGR,"type VI secretion lipoprotein, VC_A0113 family"
protein_cluster_650,HAMAP,S-ribosylhomocysteine lyase
protein_cluster_6500,HAMAP,Peptide chain release factor 2
protein_cluster_6501,PFAM,acriflavin resistance protein
protein_cluster_6502,,hypothetical protein
protein_cluster_6503,PFAM,major facilitator superfamily MFS_1
protein_cluster_6504,,hypothetical protein
protein_cluster_6505,,hypothetical protein
protein_cluster_6506,PFAM,aminotransferase class I and II
protein_cluster_6507,,hypothetical protein
protein_cluster_6508,PFAM,Autoinducer-binding domain protein
protein_cluster_6509,HAMAP,Hydroxyacylglutathione hydrolase
protein_cluster_651,TIGR,biotin/acetyl-CoA-carboxylase ligase
protein_cluster_6510,PFAM,periplasmic binding protein/LacI transcriptional regulator
protein_cluster_6511,PFAM,"Helix-turn-helix, AraC domain-containing protein"
protein_cluster_6512,TIGR,endonuclease III
protein_cluster_6513,,hypothetical protein
protein_cluster_6514,TIGR,2-polyprenyl-6-methoxyphenol 4-hydroxylase
protein_cluster_6515,PFAM,Gp157 family protein
protein_cluster_6516,PFAM,Mu-like prophage FluMu protein gp41
protein_cluster_6517,PFAM,regulatory protein DeoR
protein_cluster_6518,HAMAP,NADH-quinone oxidoreductase subunit C/D
protein_cluster_6519,PFAM,Protein of unknown function DUF2544
protein_cluster_652,,hypothetical protein
protein_cluster_6520,PFAM,small terminase subunit
protein_cluster_6521,,hypothetical protein
protein_cluster_6522,HAMAP,Anti-adapter protein iraM
protein_cluster_6523,,hypothetical protein
protein_cluster_6524,PFAM,IstB domain protein ATP-binding protein
protein_cluster_6525,PFAM,glycosyl transferase family 2
protein_cluster_6526,PFAM,MscS Mechanosensitive ion channel
protein_cluster_6527,,hypothetical protein
protein_cluster_6528,PFAM,regulatory protein LacI
protein_cluster_6529,,hypothetical protein
protein_cluster_653,,hypothetical protein
protein_cluster_6530,PFAM,Orn/Lys/Arg decarboxylase major region
protein_cluster_6531,HAMAP,Divalent-cation tolerance protein cutA
protein_cluster_6532,,hypothetical protein
protein_cluster_6533,TIGR,type III secretion system apparatus protein YscQ/HrcQ
protein_cluster_6534,PFAM,Fimbrial protein
protein_cluster_6535,PFAM,protein of unknown function DUF883 ElaB
protein_cluster_6536,,hypothetical protein
protein_cluster_6537,,hypothetical protein
protein_cluster_6538,,hypothetical protein
protein_cluster_6539,,hypothetical protein
protein_cluster_654,PFAM,UspA domain-containing protein
protein_cluster_6540,,hypothetical protein
protein_cluster_6541,,hypothetical protein
protein_cluster_6542,PFAM,transposase YhgA family protein
protein_cluster_6543,HAMAP,Ribonuclease T
protein_cluster_6544,,hypothetical protein
protein_cluster_6545,HAMAP,Regulator of cell morphogenesis and NO signaling
protein_cluster_6546,PFAM,Mandelate racemase/muconate lactonizing protein
protein_cluster_6547,HAMAP,Ribosome-binding factor A
protein_cluster_6548,PFAM,protein of unknown function DUF1974
protein_cluster_6549,PFAM,head-tail attachment protein
protein_cluster_655,HAMAP,Rhomboid protease glpG
protein_cluster_6550,PFAM,ABC transporter related protein
protein_cluster_6551,,hypothetical protein
protein_cluster_6552,,hypothetical protein
protein_cluster_6553,PFAM,phosphoadenosine phosphosulfate reductase
protein_cluster_6554,TIGR,5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase
protein_cluster_6555,,hypothetical protein
protein_cluster_6556,,hypothetical protein
protein_cluster_6557,PFAM,Protein of unkown function DUF1819 putative inner membrane
protein_cluster_6558,,hypothetical protein
protein_cluster_6559,,hypothetical protein
protein_cluster_656,PFAM,regulatory protein LacI
protein_cluster_6560,,hypothetical protein
protein_cluster_6561,HAMAP,CCA-adding enzyme
protein_cluster_6562,,hypothetical protein
protein_cluster_6563,HAMAP,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase
protein_cluster_6564,,hypothetical protein
protein_cluster_6565,,hypothetical protein
protein_cluster_6566,,hypothetical protein
protein_cluster_6567,PFAM,porin Gram-negative type
protein_cluster_6568,TIGR,FeS assembly protein SufD
protein_cluster_6569,HAMAP,Transcriptional regulator nanR
protein_cluster_657,,hypothetical protein
protein_cluster_6570,PFAM,"Transposase, helix-turn-helix domain-containing protein"
protein_cluster_6571,TIGR,1-phosphofructokinase
protein_cluster_6572,PFAM,protein of unknown function DUF796
protein_cluster_6573,,hypothetical protein
protein_cluster_6574,,hypothetical protein
protein_cluster_6575,PFAM,HupH hydrogenase expression protein
protein_cluster_6576,,hypothetical protein
protein_cluster_6577,PFAM,major facilitator superfamily MFS_1
protein_cluster_6578,,hypothetical protein
protein_cluster_6579,,hypothetical protein
protein_cluster_658,PFAM,monooxygenase FAD-binding protein
protein_cluster_6580,HAMAP,Glutathione-regulated potassium-efflux system ancillary protein kefF
protein_cluster_6581,,hypothetical protein
protein_cluster_6582,TIGR,"transposase, IS605 OrfB family"
protein_cluster_6583,,hypothetical protein
protein_cluster_6584,PFAM,Bor family protein
protein_cluster_6585,PFAM,PTS system Galactitol-specific IIC component
protein_cluster_6586,,hypothetical protein
protein_cluster_6587,,hypothetical protein
protein_cluster_6588,PFAM,protein of unknown function DUF1019
protein_cluster_6589,,hypothetical protein
protein_cluster_659,,hypothetical protein
protein_cluster_6590,TIGR,"thiamine ABC transporter, periplasmic binding protein"
protein_cluster_6591,PFAM,Ribose/galactose isomerase
protein_cluster_6592,PFAM,transposase IS111A/IS1328/IS1533
protein_cluster_6593,HAMAP,Methylglyoxal synthase
protein_cluster_6594,HAMAP,4-hydroxybenzoate octaprenyltransferase
protein_cluster_6595,PFAM,DNA polymerase beta domain protein region
protein_cluster_6596,PFAM,Polynucleotide adenylyltransferase region
protein_cluster_6597,,hypothetical protein
protein_cluster_6598,,hypothetical protein
protein_cluster_6599,HAMAP,Carboxylesterase bioH
protein_cluster_66,,hypothetical protein
protein_cluster_660,PFAM,protein of unknown function DUF823
protein_cluster_6600,PFAM,Fertility inhibition FinO-like protein
protein_cluster_6601,PFAM,aminoglycoside phosphotransferase
protein_cluster_6602,,hypothetical protein
protein_cluster_6603,,hypothetical protein
protein_cluster_6604,PFAM,monooxygenase FAD-binding protein
protein_cluster_6605,HAMAP,Deoxyuridine 5'-triphosphate nucleotidohydrolase
protein_cluster_6606,PFAM,ApbE family lipoprotein
protein_cluster_6607,,hypothetical protein
protein_cluster_6608,PFAM,YagBYeeUYfjZ family protein
protein_cluster_6609,,hypothetical protein
protein_cluster_661,HAMAP,Lipid-A-disaccharide synthase
protein_cluster_6610,PFAM,Cobyrinic acid ac-diamide synthase
protein_cluster_6611,PFAM,ParB domain protein nuclease
protein_cluster_6612,TIGR,YjeF-related protein
protein_cluster_6613,,hypothetical protein
protein_cluster_6614,PFAM,PTS system protein II sorbitol-specific factor
protein_cluster_6615,TIGR,"exodeoxyribonuclease V, beta subunit"
protein_cluster_6616,,hypothetical protein
protein_cluster_6617,,hypothetical protein
protein_cluster_6618,TIGR,"aspartate kinase, monofunctional class"
protein_cluster_6619,,hypothetical protein
protein_cluster_662,TIGR,ribosomal-protein-alanine acetyltransferase
protein_cluster_6620,PFAM,GtrA family protein
protein_cluster_6621,,hypothetical protein
protein_cluster_6622,TIGR,ribosomal protein L15
protein_cluster_6623,PFAM,protein of unknown function DUF826
protein_cluster_6624,TIGR,FeS assembly protein IscX
protein_cluster_6625,,hypothetical protein
protein_cluster_6626,TIGR,galactose-1-phosphate uridylyltransferase
protein_cluster_6627,PFAM,Gluconate transporter
protein_cluster_6628,TIGR,thioredoxin
protein_cluster_6629,,hypothetical protein
protein_cluster_663,PFAM,protein of unknown function DUF177
protein_cluster_6630,,hypothetical protein
protein_cluster_6631,,hypothetical protein
protein_cluster_6632,PFAM,phosphotransferase system PTS sorbose-specific IIC subunit
protein_cluster_6633,,hypothetical protein
protein_cluster_6634,PFAM,glycoside hydrolase family 24
protein_cluster_6635,,hypothetical protein
protein_cluster_6636,,hypothetical protein
protein_cluster_6637,PFAM,glycosyl transferase family 51
protein_cluster_6638,PFAM,formate/nitrite transporter
protein_cluster_6639,PFAM,Exonuclease  domain protein
protein_cluster_664,,hypothetical protein
protein_cluster_6640,PFAM,dihydrofolate reductase region
protein_cluster_6641,PFAM,Carboxylyase-related protein
protein_cluster_6642,PFAM,Baseplate J family protein
protein_cluster_6643,HAMAP,Zinc transporter zitB
protein_cluster_6644,,hypothetical protein
protein_cluster_6645,,hypothetical protein
protein_cluster_6646,HAMAP,putative exonuclease xni
protein_cluster_6647,,hypothetical protein
protein_cluster_6648,,hypothetical protein
protein_cluster_6649,,hypothetical protein
protein_cluster_665,,hypothetical protein
protein_cluster_6650,,hypothetical protein
protein_cluster_6651,,hypothetical protein
protein_cluster_6652,,hypothetical protein
protein_cluster_6653,PFAM,Oligogalacturonate-specific porin
protein_cluster_6654,,hypothetical protein
protein_cluster_6655,,hypothetical protein
protein_cluster_6656,HAMAP,Outer-membrane lipoprotein lolB
protein_cluster_6657,PFAM,Sporulation domain-containing protein
protein_cluster_6658,,hypothetical protein
protein_cluster_6659,PFAM,LysR substrate-binding protein
protein_cluster_666,,hypothetical protein
protein_cluster_6660,,hypothetical protein
protein_cluster_6661,PFAM,baseplate assembly protein V
protein_cluster_6662,PFAM,D12 class N6 adenine-specific DNA methyltransferase
protein_cluster_6663,HAMAP,UPF0082 protein yeeN
protein_cluster_6664,TIGR,"HAD superfamily (subfamily IA) hydrolase, TIGR02254"
protein_cluster_6665,PFAM,Fusaric acid resistance protein conserved region
protein_cluster_6666,PFAM,FeoA family protein
protein_cluster_6667,,hypothetical protein
protein_cluster_6668,TIGR,"DNA polymerase III, delta prime subunit"
protein_cluster_6669,TIGR,transcriptional regulator protein
protein_cluster_667,PFAM,anaerobic cobalt chelatase
protein_cluster_6670,TIGR,"precorrin-6Y C5,15-methyltransferase (decarboxylating), CbiT subunit"
protein_cluster_6671,PFAM,"Extracellular solute-binding protein, family 7"
protein_cluster_6672,PFAM,Sel1 domain protein repeat-containing protein
protein_cluster_6673,HAMAP,Crotonobetainyl-CoA dehydrogenase
protein_cluster_6674,,hypothetical protein
protein_cluster_6675,,hypothetical protein
protein_cluster_6676,PFAM,glucose-6-phosphate isomerase
protein_cluster_6677,TIGR,alanyl-tRNA synthetase
protein_cluster_6678,TIGR,translation initiation factor SUI1
protein_cluster_6679,PFAM,Fimbrial protein
protein_cluster_668,TIGR,arsenate reductase
protein_cluster_6680,PFAM,protein of unknown function DUF1493
protein_cluster_6681,,hypothetical protein
protein_cluster_6682,,hypothetical protein
protein_cluster_6683,,hypothetical protein
protein_cluster_6684,,hypothetical protein
protein_cluster_6685,,hypothetical protein
protein_cluster_6686,TIGR,"sulfite reductase, subunit C"
protein_cluster_6687,TIGR,ribosomal protein L2
protein_cluster_6688,HAMAP,50S ribosomal protein L28
protein_cluster_6689,,hypothetical protein
protein_cluster_669,,hypothetical protein
protein_cluster_6690,HAMAP,UPF0352 protein yejL
protein_cluster_6691,PFAM,"Helix-turn-helix, AraC domain-containing protein"
protein_cluster_6692,,hypothetical protein
protein_cluster_6693,PFAM,cytochrome c assembly protein
protein_cluster_6694,,hypothetical protein
protein_cluster_6695,PFAM,protein of unknown function DUF6 transmembrane
protein_cluster_6696,PFAM,protein of unknown function DUF1471
protein_cluster_6697,,hypothetical protein
protein_cluster_6698,PFAM,"ABC-type transporter, integral membrane subunit"
protein_cluster_6699,PFAM,regulatory protein TetR
protein_cluster_67,PFAM,protein of unknown function DUF6 transmembrane
protein_cluster_670,PFAM,Ubiquinol-cytochrome c chaperone/UPF0174
protein_cluster_6700,,hypothetical protein
protein_cluster_6701,,hypothetical protein
protein_cluster_6702,PFAM,NinF family protein
protein_cluster_6703,TIGR,ureidoglycolate dehydrogenase
protein_cluster_6704,PFAM,protein of unknown function DUF550
protein_cluster_6705,PFAM,BFD domain protein [2Fe-2S]-binding domain protein
protein_cluster_6706,,hypothetical protein
protein_cluster_6707,PFAM,MASE1 domain protein
protein_cluster_6708,,hypothetical protein
protein_cluster_6709,,hypothetical protein
protein_cluster_671,PFAM,AsmA family protein
protein_cluster_6710,TIGR,ribulose-phosphate 3-epimerase
protein_cluster_6711,TIGR,lipopolysaccharide heptosyltransferase I
protein_cluster_6712,,hypothetical protein
protein_cluster_6713,HAMAP,Phosphoribosylaminoimidazole-succinocarboxamide synthase
protein_cluster_6714,PFAM,VirB8 family protein
protein_cluster_6715,PFAM,C4-dicarboxylate anaerobic carrier-like protein
protein_cluster_6716,,hypothetical protein
protein_cluster_6717,TIGR,CRISPR-associated protein Cas1
protein_cluster_6718,,hypothetical protein
protein_cluster_6719,,hypothetical protein
protein_cluster_672,TIGR,Na/Pi-cotransporter II-related protein
protein_cluster_6720,,hypothetical protein
protein_cluster_6721,PFAM,LysR substrate-binding protein
protein_cluster_6722,PFAM,peptidase M48 Ste24p
protein_cluster_6723,PFAM,exodeoxyribonuclease VIII
protein_cluster_6724,PFAM,Barstar (barnase inhibitor)
protein_cluster_6725,PFAM,Thioredoxin domain-containing protein
protein_cluster_6726,PFAM,"Multi-copper polyphenol oxidoreductase, laccase"
protein_cluster_6727,PFAM,tail assembly chaperone gp38
protein_cluster_6728,TIGR,cyd operon protein YbgE
protein_cluster_6729,PFAM,Prophage minor tail Z family protein
protein_cluster_673,PFAM,"ABC-type transporter, periplasmic subunit"
protein_cluster_6730,TIGR,ribosomal subunit interface protein
protein_cluster_6731,,hypothetical protein
protein_cluster_6732,,hypothetical protein
protein_cluster_6733,PFAM,histidine triad (HIT) protein
protein_cluster_6734,TIGR,"glutamine synthetase, type I"
protein_cluster_6735,PFAM,SdiA-regulated domain protein
protein_cluster_6736,,hypothetical protein
protein_cluster_6737,HAMAP,Prolyl-tRNA synthetase
protein_cluster_6738,,hypothetical protein
protein_cluster_6739,HAMAP,UPF0319 protein yccT
protein_cluster_674,,hypothetical protein
protein_cluster_6740,PFAM,glycoside hydrolase family 43
protein_cluster_6741,PFAM,ParB domain protein nuclease
protein_cluster_6742,,hypothetical protein
protein_cluster_6743,,hypothetical protein
protein_cluster_6744,PFAM,pseudouridine synthase
protein_cluster_6745,PFAM,ROK  family protein
protein_cluster_6746,PFAM,copper resistance D domain protein
protein_cluster_6747,PFAM,Transcriptional regulator IclR
protein_cluster_6748,,hypothetical protein
protein_cluster_6749,PFAM,SirA-like domain-containing protein
protein_cluster_675,PFAM,fumarylacetoacetate (FAA) hydrolase
protein_cluster_6750,PFAM,ABC transporter related protein
protein_cluster_6751,PFAM,Rhodanese-like protein
protein_cluster_6752,PFAM,transposase IS200-family protein
protein_cluster_6753,,hypothetical protein
protein_cluster_6754,,hypothetical protein
protein_cluster_6755,PFAM,EAL domain-containing protein
